,Encoding
212,ADVANCED TOPICS IN BIOLOGY  FAS Biology BIOL 680 600 Master Computer lab
213,PEDAGOGICAL TRAINING  FAS Biology BIOL 801 800 Ph.D. Pedagogical Practicum
214,High-throughput Instrumentation  FAS Biology BIOL 486 400 Bachelor Real-world project/assignment
215,ADVANCED TECHNIQUES/ECOLOGY  FAS Biology BIOL 622 600 Master Laboratory
216,ADVANCED TECHNIQUES/ECOLOGY  FAS Biology BIOL 622 600 Master Laboratory
217,ADV TECH/MOLECULAR BIOLOGY  FAS Biology BIOL 689 600 Master Laboratory
218,ADV TECH/MOLECULAR BIOLOGY  FAS Biology BIOL 689 600 Master Laboratory
219,RESEARCH SEMINAR  FAS Biology BIOL 802 800 Ph.D. Research seminar
220,INTERMEDIATE TOPICS/BIOLOGY  FAS Biology BIOL 398 300 Bachelor Field work
221,Advanced Topics in Biology  FAS Biology BIOL 498 400 Bachelor Internship field work tropical environment/seminar
222,Advanced Topics in Biology  FAS Biology BIOL 498 400 Bachelor Internship field work tropical environment/seminar
223,ADV TOPICS/BIOINFORMATICS  FAS Biology BIOL 630 600 Master Computer lab
224,ADV TOPICS/BIOINFORMATICS  FAS Biology BIOL 630 600 Master Computer lab
225,Scientific Communication  FAS Biology BIOL 423 400 Bachelor Workshops
226,"Building Science BLDG 364 = BLDG 365 GCS Building, Civil and Environmental Engineering (BCEE) BLDG 365 300 Bachelor Laboratory: 2 hours per week, alternate weeks"
227,"Building Science BLDG 364 = BLDG 365 GCS Building, Civil and Environmental Engineering (BCEE) BLDG 365 300 Bachelor Laboratory: 2 hours per week, alternate weeks"
228,"Building Science BLDG 364 = BLDG 365 GCS Building, Civil and Environmental Engineering (BCEE) BLDG 365 300 Bachelor Laboratory: 2 hours per week, alternate weeks"
229,"Acoustics and Lighting BLDG 363 = BLDG 366 GCS Building, Civil and Environmental Engineering (BCEE) BLDG 366 300 Bachelor Laboratory: 2 hours per week, alternate weeks"
230,"Acoustics and Lighting BLDG 363 = BLDG 366 GCS Building, Civil and Environmental Engineering (BCEE) BLDG 366 300 Bachelor Laboratory: 2 hours per week, alternate weeks"
231,"Acoustics and Lighting BLDG 363 = BLDG 366 GCS Building, Civil and Environmental Engineering (BCEE) BLDG 366 300 Bachelor Laboratory: 2 hours per week, alternate weeks"
232,"Building Service Systems  GCS Building, Civil and Environmental Engineering (BCEE) BLDG 371 300 Bachelor Laboratory: 2 hours per week, alternate weeks"
233,"Building Service Systems  GCS Building, Civil and Environmental Engineering (BCEE) BLDG 371 300 Bachelor Laboratory: 2 hours per week, alternate weeks"
234,"Building Engineering Design Project  GCS Building, Civil and Environmental Engineering (BCEE) BLDG 390 300 Bachelor Laboratory: 2 hours per week, alternate weeks"
235,"Building Engineering Design Project  GCS Building, Civil and Environmental Engineering (BCEE) BLDG 390 300 Bachelor Laboratory: 2 hours per week, alternate weeks"
236,"Building Envelope Design BLDG 461 = BLDG 463 GCS Building, Civil and Environmental Engineering (BCEE) BLDG 463 400 Bachelor On-site investigation"
237,"HVAC System Design  GCS Building, Civil and Environmental Engineering (BCEE) BLDG 471 400 Bachelor Laboratory: 2 hours per week"
238,"HVAC System Design  GCS Building, Civil and Environmental Engineering (BCEE) BLDG 471 400 Bachelor Laboratory: 2 hours per week"
239,"Thermal Analysis of Buildings  GCS Building, Civil and Environmental Engineering (BCEE) BLDG 476 400 Bachelor Laboratory: 1 hour per week"
240,"Thermal Analysis of Buildings  GCS Building, Civil and Environmental Engineering (BCEE) BLDG 476 400 Bachelor Laboratory: 1 hour per week"
241,"Capstone Building Engineering Design Project  GCS Building, Civil and Environmental Engineering (BCEE) BLDG 490 400 Bachelor capstone, team project"
242,"Construction Processes BCEE 492 = BLDG 492 GCS Building, Civil and Environmental Engineering (BCEE) BLDG 492 400 Bachelor Site visits"
243,"WIND ENGR+BLDG AERODYNAMICS  GCS Building, Civil and Environmental Engineering (BCEE) BLDG 6071 60000 Master A case study project required"
244,"FUNDAMENTALS OF SMART BLDG OP  GCS Building, Civil and Environmental Engineering (BCEE) BLDG 6111 60000 Master A project required"
245,"FUNDAMENTALS OF SMART BUILDINGS OPERATION  GCS Building, Civil and Environmental Engineering (BCEE) BLDG 6111 60000 Master A project required"
246,"BUILDING ECONOMICS I  GCS Building, Civil and Environmental Engineering (BCEE) BLDG 6561 60000 Master A project required"
247,"PROJECT MANAGEMENT  GCS Building, Civil and Environmental Engineering (BCEE) BLDG 6571 60000 Master A project required"
248,"DECISION ANALYSIS  GCS Building, Civil and Environmental Engineering (BCEE) BLDG 6581 60000 Master A project required"
249,"COMP.AIDED BUILD. DESIGN  GCS Building, Civil and Environmental Engineering (BCEE) BLDG 6591 60000 Master A project required"
250,"COMP.AIDED BUILD. DESIGN  GCS Building, Civil and Environmental Engineering (BCEE) BLDG 6591 60000 Master A project required"
251,"BUILDING SCIENCE  GCS Building, Civil and Environmental Engineering (BCEE) BLDG 6611 60000 Master A case study project required"
252,"MODULAR & OFF-SITE CONSTRUCT  GCS Building, Civil and Environmental Engineering (BCEE) BLDG 6641 60000 Master A case study & project"
253,"HYGROTHERM.PERF/BLDG. ENV.  GCS Building, Civil and Environmental Engineering (BCEE) BLDG 6661 60000 Master A project required"
254,"BUILDING ENVIRONMENT  GCS Building, Civil and Environmental Engineering (BCEE) BLDG 6701 60000 Master 2 projects"
255,"HVAC CONTROL SYSTEMS  GCS Building, Civil and Environmental Engineering (BCEE) BLDG 6741 60000 Master A project required"
256,"ENERGY MGMT. IN BUILDINGS  GCS Building, Civil and Environmental Engineering (BCEE) BLDG 6781 60000 Master A case study & project"
257,"ENERGY MGMT. IN BUILDINGS  GCS Building, Civil and Environmental Engineering (BCEE) BLDG 6781 60000 Master A case study & project"
258,"CONSTRUCTION PLANN G+CONTROL  GCS Building, Civil and Environmental Engineering (BCEE) BLDG 6801 60000 Master A case study & project"
259,"PROJECT COST ESTIMATING  GCS Building, Civil and Environmental Engineering (BCEE) BLDG 6851 60000 Master A project required"
260,"SIMUL.+ DESIGN/CONST. OPER.  GCS Building, Civil and Environmental Engineering (BCEE) BLDG 6861 60000 Master A project required"
261,"SOLAR BUILDING MODELLING AND DESIGN  GCS Building, Civil and Environmental Engineering (BCEE) BLDG 6951 60000 Master A project required"
262,"DURABILITY OF BLDG. MATS.  GCS Building, Civil and Environmental Engineering (BCEE) BLDG 7601 70000 Master A case study & project"
263,"PROJECT ACQUISITION+CONTROL  GCS Building, Civil and Environmental Engineering (BCEE) BLDG 7811 70000 Master A project required"
264,"BUILDING ECONOMICS II  GCS Building, Civil and Environmental Engineering (BCEE) BLDG 7831 70000 Master A project required"
265,"INFORMATION TECHNOLOGY APPLICATIONS IN CONSTRUCTION  GCS Building, Civil and Environmental Engineering (BCEE) BLDG 7841 70000 Master A project required"
266,"BUSINESS PRACTICES/CONSTR N  GCS Building, Civil and Environmental Engineering (BCEE) BLDG 7861 70000 Master A project required"
267,"CONSTRUCTION EQUIPMENT MGMT.  GCS Building, Civil and Environmental Engineering (BCEE) BLDG 7871 70000 Master A project required"
268,"CONSTRUCTION EQUIPMENT MGMT.  GCS Building, Civil and Environmental Engineering (BCEE) BLDG 7871 70000 Master A project required"
269,"BUILDING ENCLOSURE  GCS Building, Civil and Environmental Engineering (BCEE) BLDG 6601 60000 Master A project required"
270,"NON-STRUCTURAL BLDG MATERIALS  GCS Building, Civil and Environmental Engineering (BCEE) BLDG 6621 60000 Master A project required"
271,"NON-STRUCTURAL BLDG MATERIALS  GCS Building, Civil and Environmental Engineering (BCEE) BLDG 6621 60000 Master A project required"
272,"FIRE+SMOKE CNTR L/BUILDINGS  GCS Building, Civil and Environmental Engineering (BCEE) BLDG 6651 60000 Master A project required"
273,"BUILDING ACOUSTICS  GCS Building, Civil and Environmental Engineering (BCEE) BLDG 6721 60000 Master Case studies project required"
274,"BUILDING ACOUSTICS  GCS Building, Civil and Environmental Engineering (BCEE) BLDG 6721 60000 Master Case studies project required"
275,"BUILDING ILLUM. & DAYLIGHTING  GCS Building, Civil and Environmental Engineering (BCEE) BLDG 6731 60000 Master A project required"
276,"INDOOR AIR QUAL.+ VENT.  GCS Building, Civil and Environmental Engineering (BCEE) BLDG 6751 60000 Master A case study project"
277,"Thermal Building Simulation  GCS Building, Civil and Environmental Engineering (BCEE) BLDG 6791 60000 Master A project required"
278,"Building Information Modelling in Construction  GCS Building, Civil and Environmental Engineering (BCEE) BLDG 6241 60000 Master A project required"
279,STAT SOFTWR/DATA MANA & ANAL BSTA 445 = DESC 445 JMSB Supply Chain and Business Technology Management BSTA 445 400 Bachelor Lab work
280,MANAGERIAL FORECASTING DESC 447 = DESC 477 = BSTA 477 JMSB Supply Chain and Business Technology Management BSTA 477 400 Bachelor Business economic databases analyzed using statistical software packages
281,DATA MINING TECHNIQUES BSTA 478 = DESC 478 JMSB Supply Chain and Business Technology Management BSTA 478 400 Bachelor Practical experience
282,STATISTICAL MODELS FOR DATA ANALYSIS BSTA 378=BSTA 450 JMSB Supply Chain and Business Technology Management BSTA 450 400 Bachelor Analyses real-life data using statistical software packages
283,"ENT RES PLNG&INFO TECH INTG BTM 430 = DESC 430, 389, 420 JMSB Supply Chain and Business Technology Management BTM 430 400 Bachelor Integration technological business resources analysis practical business problems processes via use enterprise resource planning applications"
284,Project Management DESC 386 = DESC 483 JMSB Supply Chain and Business Technology Management BTM 480 400 Bachelor Use project management software business cases
285,Information Systems Analysis DESC 424 = DESC 481 JMSB Supply Chain and Business Technology Management BTM 481 400 Bachelor Analysis real business processes development requirements information systems applications
286,Information Systems Design and Implementation BTM 495 = DESC 495 JMSB Supply Chain and Business Technology Management BTM 495 400 Bachelor Designing prototyping IT solutions real-life projects
287,"Information Technology Strategy, Management, and Sourcing  JMSB Supply Chain and Business Technology Management BTM 496 400 Bachelor Development request proposal information systems real life business applications"
288,"Business Information Systems Risks, Security and Audit  JMSB Supply Chain and Business Technology Management BTM 440 400 Bachelor Applied learning intensive case, hands-on experience-on IT auditing security management project"
289,Strategic Management of Information Technology BTM 633 = MBA 615 JMSB Supply Chain and Business Technology Management BTM 633 600 Master Students critically evaluate IT business problems focus strategic management IT competitive advantage.
290,"Emergency Care in Sport and Exercise CATA 262 = EXCI 262 FAS Health, Kinesiology and Applied Physiology CATA 262 200 Bachelor Laboratory"
291,"Emergency Care in Sport and Exercise CATA 262 = EXCI 262 FAS Health, Kinesiology and Applied Physiology CATA 262 200 Bachelor Laboratory"
292,"Principles of Athletic Therapy CATA 263 = EXCI 263 FAS Health, Kinesiology and Applied Physiology CATA 263 200 Bachelor Laboratory"
293,"Principles of Athletic Therapy  FAS Health, Kinesiology and Applied Physiology CATA 263 200 Bachelor Laboratory"
294,"Principles of Athletic Therapy CATA 263 = EXCI 263 FAS Health, Kinesiology and Applied Physiology CATA 263 200 Bachelor Laboratory"
295,"Principles of Athletic Therapy  FAS Health, Kinesiology and Applied Physiology CATA 263 200 Bachelor Laboratory"
296,"Assessment of the Upper and Lower Extremities  FAS Health, Kinesiology and Applied Physiology CATA 337 300 Bachelor Laboratory"
297,"Assessment of the Upper and Lower Extremities  FAS Health, Kinesiology and Applied Physiology CATA 337 300 Bachelor Laboratory"
298,"Rehabilitation of the Upper and Lower Extremities  FAS Health, Kinesiology and Applied Physiology CATA 339 300 Bachelor Laboratory"
299,"Rehabilitation of the Upper and Lower Extremities  FAS Health, Kinesiology and Applied Physiology CATA 339 300 Bachelor Laboratory"
300,"Therapeutic Modalities in Sports Medicine CATA 348 = EXCI 348 FAS Health, Kinesiology and Applied Physiology CATA 348 300 Bachelor Laboratory"
301,"Therapeutic Modalities in Sports Medicine CATA 348 = EXCI 348 FAS Health, Kinesiology and Applied Physiology CATA 348 300 Bachelor Laboratory"
302,"Athletic Therapy Field Internship I  FAS Health, Kinesiology and Applied Physiology CATA 365 300 Bachelor Internship"
